source_id,program,site_name,latitude,longitude,survey_date,year,month,water_year,survey_type,scientific_name,common_name,functional_group,species_code,abundance,nest_count,brood_count,prop_surveyed,percent_full,breeding_evidence,veg_community,mdb_scope
S3,Specified Environmental Assets (SEA),Macquarie Marshes,-30.64667,147.5747,2010-11-11,2010,11,2011,aerial,Phalacrocorax sulcirostris,Little black cormorant,Pi,LBC,1281.0,0.0,0.0,0.4,40.0,False,,True
S3,Specified Environmental Assets (SEA),Macquarie Marshes,-30.64667,147.5747,2010-11-11,2010,11,2011,aerial,Anseranas semipalmata,Magpie Goose,He,MPG,1153.0,0.0,0.0,0.4,40.0,False,,True
S3,Specified Environmental Assets (SEA),Macquarie Marshes,-30.64667,147.5747,2010-11-11,2010,11,2011,aerial,Chlidonias hybridus,Whiskered (Marsh) Tern,Pi,MST,6091.0,0.0,0.0,0.4,40.0,False,,True
S3,Specified Environmental Assets (SEA),Macquarie Marshes,-30.64667,147.5747,2010-11-11,2010,11,2011,aerial,Nycticorax caledonicus,Nankeen (Rufous) Night Heron,La,NKE,3139.0,0.0,0.0,0.4,40.0,False,,True
S3,Specified Environmental Assets (SEA),Macquarie Marshes,-30.64667,147.5747,2010-11-11,2010,11,2011,aerial,Pelecanus conspicillatus,Pelican,Pi,PEL,1153.0,0.0,0.0,0.4,40.0,False,,True
S3,Specified Environmental Assets (SEA),Macquarie Marshes,-30.64667,147.5747,2010-11-11,2010,11,2011,aerial,Platalea regia,Royal Spoonbill,La,RSB,3907.0,0.0,0.0,0.4,40.0,False,,True
S3,Specified Environmental Assets (SEA),Macquarie Marshes,-30.64667,147.5747,2010-11-11,2010,11,2011,aerial,Threskiornis spinicollis,Straw-necked Ibis,La,SNI,7442.0,0.0,0.0,0.4,40.0,False,,True
S3,Specified Environmental Assets (SEA),Macquarie Marshes,-30.64667,147.5747,2010-11-11,2010,11,2011,aerial,Chenonetta jubata,Wood (Maned) Duck,He,WDU,192.0,0.0,0.0,0.4,40.0,False,,True
S3,Specified Environmental Assets (SEA),Macquarie Marshes,-30.64667,147.5747,2010-11-11,2010,11,2011,aerial,Egretta novaehollandiae,White-faced Heron,La,WFH,3267.0,0.0,0.0,0.4,40.0,False,,True
S3,Specified Environmental Assets (SEA),Macquarie Marshes,-30.64667,147.5747,2010-11-11,2010,11,2011,aerial,Threskiornis molucca,White (Sacred) Ibis,La,WHI,8519.0,0.0,0.0,0.4,40.0,False,,True
S3,Specified Environmental Assets (SEA),Macquarie Marshes,-30.64667,147.5747,2010-11-11,2010,11,2011,aerial,Himantopus himantopus,Black-winged Stilt,Sh,WHS,10120.0,0.0,0.0,0.4,40.0,False,,True
S3,Specified Environmental Assets (SEA),Macquarie Marshes,-30.64667,147.5747,2010-11-11,2010,11,2011,aerial,Anas superciliosa,Pacific black Duck,Du,BDU,1089.0,0.0,0.0,0.4,40.0,False,,True
S3,Specified Environmental Assets (SEA),Macquarie Marshes,-30.64667,147.5747,2010-11-11,2010,11,2011,aerial,Cygnus atratus,Black Swan,He,BSW,1345.0,0.0,0.0,0.4,40.0,False,,True
S3,Specified Environmental Assets (SEA),Macquarie Marshes,-30.64667,147.5747,2010-11-11,2010,11,2011,aerial,Anhinga melanogaster,Darter,Pi,DAR,128.0,0.0,0.0,0.4,40.0,False,,True
S3,Specified Environmental Assets (SEA),Macquarie Marshes,-30.64667,147.5747,2010-11-11,2010,11,2011,aerial,Ardea/egretta sp.,Egrets,La,EGR,3772.0,0.0,0.0,0.4,40.0,False,,True
S3,Specified Environmental Assets (SEA),Macquarie Marshes,-30.64667,147.5747,2010-11-11,2010,11,2011,aerial,Plegadis falcinellus,Glossy Ibis,La,GLI,4035.0,0.0,0.0,0.4,40.0,False,,True
S3,Specified Environmental Assets (SEA),Macquarie Marshes,-30.64667,147.5747,2010-11-11,2010,11,2011,aerial,Phalacrocorax carbo,Great cormorant,Pi,GRC,256.0,0.0,0.0,0.4,40.0,False,,True
S3,Specified Environmental Assets (SEA),Macquarie Marshes,-30.64667,147.5747,2010-11-11,2010,11,2011,aerial,Small grebe,Small Grebes,Du,GRE,256.0,0.0,0.0,0.4,40.0,False,,True
S3,Specified Environmental Assets (SEA),Macquarie Marshes,-30.64667,147.5747,2010-11-11,2010,11,2011,aerial,Anas gracilis,Grey teal,Du,GTL,2376.0,0.0,0.0,0.4,40.0,False,,True
S3,Specified Environmental Assets (SEA),Macquarie Marshes,-30.64667,147.5747,2010-11-11,2010,11,2011,aerial,Dendrocygna eytoni,Plumed whistling-duck,He,GWD,3602.0,0.0,0.0,0.4,40.0,False,,True
S3,Specified Environmental Assets (SEA),Macquarie Marshes,-30.64667,147.5747,2010-11-11,2010,11,2011,aerial,Aythya australis,Hardhead,Du,HHD,3395.0,0.0,0.0,0.4,40.0,False,,True
S3,Specified Environmental Assets (SEA),Macquarie Marshes,-30.64667,147.5747,2010-11-11,2010,11,2011,aerial,Ardea pacifica,Pacific (White-necked) Heron,La,WNH,4932.0,0.0,0.0,0.4,40.0,False,,True
S3,Specified Environmental Assets (SEA),Macquarie Marshes,-30.64667,147.5747,2010-11-11,2010,11,2011,aerial,Platalea flavipes,Yellow-billed Spoonbill,La,YSB,2434.0,0.0,0.0,0.4,40.0,False,,True
S3,Specified Environmental Assets (SEA),Macquarie Marshes,-30.64667,147.5747,2011-09-11,2011,9,2012,aerial,Gallinula ventralis,Black-tailed Native-hen,He,BTN,3582.0,0.0,0.0,0.2,20.0,False,,True
S3,Specified Environmental Assets (SEA),Macquarie Marshes,-30.64667,147.5747,2011-09-11,2011,9,2012,aerial,Fulica atra,Eurasian Coot,He,COT,7558.0,0.0,0.0,0.2,20.0,False,,True
S3,Specified Environmental Assets (SEA),Macquarie Marshes,-30.64667,147.5747,2011-09-11,2011,9,2012,aerial,Anhinga melanogaster,Darter,Pi,DAR,72.0,0.0,0.0,0.2,20.0,False,,True
S3,Specified Environmental Assets (SEA),Macquarie Marshes,-30.64667,147.5747,2011-09-11,2011,9,2012,aerial,Ardea/egretta sp.,Egrets,La,EGR,3449.0,0.0,0.0,0.2,20.0,False,,True
S3,Specified Environmental Assets (SEA),Macquarie Marshes,-30.64667,147.5747,2011-09-11,2011,9,2012,aerial,Plegadis falcinellus,Glossy Ibis,La,GLI,2310.0,0.0,0.0,0.2,20.0,False,,True
S3,Specified Environmental Assets (SEA),Macquarie Marshes,-30.64667,147.5747,2011-09-11,2011,9,2012,aerial,Phalacrocorax carbo,Great cormorant,Pi,GRC,752.0,0.0,0.0,0.2,20.0,False,,True
