Program,SamplePoint,Description,Latitude,Longitude,SampleDate,sampleDateStart,sampleDateEnd,evaluationCode,speciesCode,speciesName,vegCommunity,abundance,breedEvidence,prop_surveyed,Comments,survey_date,year,month,water_year
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2014-09-29 14:00,2014-09-29 14:00,2014-09-29 15:00,E3,106.0,Pelecanus conspicillatus,Black box woodland,3,False,0.32,,2014-09-29 14:00:00,2014,9,2015
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2014-11-28 16:38,2014-11-28 16:38,2014-11-28 18:40,E3,97.0,Phalacrocorax (phalacrocorax),Black box woodland,2,False,0.32,,2014-11-28 16:38:00,2014,11,2015
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2014-11-28 16:38,2014-11-28 16:38,2014-11-28 18:40,E3,106.0,Pelecanus conspicillatus,Black box woodland,37,False,0.32,,2014-11-28 16:38:00,2014,11,2015
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2014-11-28 16:38,2014-11-28 16:38,2014-11-28 18:40,E3,188.0,Egretta novaehollandiae,Black box woodland,4,False,0.32,,2014-11-28 16:38:00,2014,11,2015
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2014-11-28 16:38,2014-11-28 16:38,2014-11-28 18:40,E3,208.0,Anas (anas),Black box woodland,1,False,0.32,,2014-11-28 16:38:00,2014,11,2015
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2014-11-28 16:38,2014-11-28 16:38,2014-11-28 18:40,E3,213.0,Malacorhynchus membranaceus,Black box woodland,3,False,0.32,,2014-11-28 16:38:00,2014,11,2015
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2015-01-29 18:00,2015-01-29 18:00,2015-01-29 18:30,E3,181.0,Platalea (platalea),Black box woodland,3,False,0.32,,2015-01-29 18:00:00,2015,1,2015
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2015-01-29 18:00,2015-01-29 18:00,2015-01-29 18:30,E3,182.0,Platalea (platibis),Black box woodland,4,False,0.32,,2015-01-29 18:00:00,2015,1,2015
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2015-01-29 18:00,2015-01-29 18:00,2015-01-29 18:30,E3,208.0,Anas (anas),Black box woodland,4,False,0.32,,2015-01-29 18:00:00,2015,1,2015
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2015-01-30 8:00,2015-01-30 8:00,2015-01-30 9:00,E3,106.0,Pelecanus conspicillatus,Black box woodland,2,False,0.32,,2015-01-30 08:00:00,2015,1,2015
