Program,SamplePoint,Description,Latitude,Longitude,SampleDate,colonyStartDate,ColonyEndDate,evaluationCode,speciesCode,speciesName,areaColony,adultCountColonyTotal,nestCountColonyTotal,breedingSuccessRateColony,disturbanceColony,comment
Lachlan River System,BLBA,Lachlan River System>Blockbank,-33.78411,144.859176,2017-01-07 00:00:00,2017-01-07,2017-03-15,E1,180,"Threskiornis spinicollis (Jameson, 1835)",9,16000,8000,64.38,,
Lachlan River System,BLBA,Lachlan River System>Blockbank,-33.78411,144.859176,2021-11-16 00:00:00,2021-10-14,2022-01-26,E1,180,"Threskiornis spinicollis (Jameson, 1835)",10.8,88000,44000,75,low,
Murrumbidgee River,Eulimbah Swamp,Murrumbidgee River>,-34.559629,144.185472,2016-11-21 00:00:00,2016-11-21,2017-01-20,E1,180,"Threskiornis spinicollis (Jameson, 1835)",25,630,315,59.44,,
Murrumbidgee River,Eulimbah Swamp,Murrumbidgee River>,-34.559629,144.185472,2016-11-21 00:00:00,2016-11-21,2017-01-20,E1,179,"Threskiornis molucca (Cuvier, 1829)",,40,20,,,
Murrumbidgee River,Eulimbah Swamp,Murrumbidgee River>,-34.559629,144.185472,2016-11-21 00:00:00,2016-11-21,2017-01-20,E1,181,Platalea regia (Gould 1838),,28,14,,,
Murrumbidgee River,Eulimbah Swamp,Murrumbidgee River>,-34.559629,144.185472,2020-11-25 00:00:00,2020-10-30,2021-02-02,E1,180,"Threskiornis spinicollis (Jameson, 1835)",3,30440,15220,28,,mixed species colony total 3ha
Murrumbidgee River,Eulimbah Swamp,Murrumbidgee River>,-34.559629,144.185472,2020-11-25 00:00:00,2020-10-30,2021-02-02,E1,178,"Plegadis falcinellus (Linnaeus, 1766)",3,6686,3343,39,,mixed species colony total 3ha
Murrumbidgee River,Eulimbah Swamp,Murrumbidgee River>,-34.559629,144.185472,2021-12-02 00:00:00,2021-10-29,2022-01-12,E1,180,"Threskiornis spinicollis (Jameson, 1835)",13.1,9608,10500,54,,
Murrumbidgee River,Telephone Creek,Murrumbidgee River>,-34.513983,144.024797,2021-12-17 00:00:00,2021-11-02,2022-01-12,E1,181,"Platalea (Platalea) regia Gould, 1838",21.2,20,,,,
Murrumbidgee River,Telephone Creek,Murrumbidgee River>,-34.513983,144.024797,2021-12-17 00:00:00,2021-11-02,2022-01-12,E1,,Unidentified egret,21.2,232,,,,
Murrumbidgee River,Telephone Creek,Murrumbidgee River>,-34.513983,144.024797,2021-12-17 00:00:00,2021-11-02,2022-01-12,E1,180,"Threskiornis spinicollis (Jameson, 1835)",21.2,8342,,,,
Murrumbidgee River,Tori Swamp,Murrumbidgee River> known as Tori Lignum Swamp,-34.373284,143.719779,2017-01-06 00:00:00,2016-12-01,2017-03-17,E1,180,"Threskiornis spinicollis (Jameson, 1835)",160,706,353,39.74,,
Murrumbidgee River,Tori Swamp,Murrumbidgee River> known as Tori Lignum Swamp,-34.373284,143.719779,2017-01-06 00:00:00,2016-12-01,2017-03-17,E1,179,"Threskiornis molucca (Cuvier, 1829)",,4,2,,,
Murrumbidgee River,Tori Swamp,Murrumbidgee River> known as Tori Lignum Swamp,-34.373284,143.719779,2017-01-06 00:00:00,2016-12-01,2017-03-17,E1,178,"Plegadis falcinellus  (Linnaeus, 1766)",,22,11,,,
Lachlan River System,UPME,Lachlan River System>Upper Merrimajeel Creek,-33.751776,144.891069,2016-10-12 00:00:00,2016-08-26,2016-11-30,E1,180,"Threskiornis spinicollis (Jameson, 1835)",68,200000,100000,83.32,low,
