Program,SamplePoint,Description,Latitude,Longitude,SampleDate,sampleDateStart,sampleDateEnd,evaluationCode,speciesCode,speciesName,vegCommunity,abundance,breedEvidence,propSurveyed(number),Comments
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2014-09-29 14:00,2014-09-29 14:00,2014-09-29 15:00,E3,106,"Pelecanus conspicillatus Temminck, 1824",Black box woodland,3,FALSE,0.32,
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2014-11-28 16:38,2014-11-28 16:38,2014-11-28 18:40,E3,97,"Phalacrocorax (Phalacrocorax) sulcirostris (Brandt, 1837)",Black box woodland,2,FALSE,0.32,
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2014-11-28 16:38,2014-11-28 16:38,2014-11-28 18:40,E3,106,"Pelecanus conspicillatus Temminck, 1824",Black box woodland,37,FALSE,0.32,
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2014-11-28 16:38,2014-11-28 16:38,2014-11-28 18:40,E3,188,"Egretta novaehollandiae (Latham, 1790)",Black box woodland,4,FALSE,0.32,
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2014-11-28 16:38,2014-11-28 16:38,2014-11-28 18:40,E3,208,"Anas (Anas) superciliosa Gmelin, 1789",Black box woodland,1,FALSE,0.32,
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2014-11-28 16:38,2014-11-28 16:38,2014-11-28 18:40,E3,213,"Malacorhynchus membranaceus (Latham, 1801)",Black box woodland,3,FALSE,0.32,
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2015-01-29 18:00,2015-01-29 18:00,2015-01-29 18:30,E3,181,"Platalea (Platalea) regia Gould, 1838",Black box woodland,3,FALSE,0.32,
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2015-01-29 18:00,2015-01-29 18:00,2015-01-29 18:30,E3,182,"Platalea (Platibis) flavipes Gould, 1838",Black box woodland,4,FALSE,0.32,
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2015-01-29 18:00,2015-01-29 18:00,2015-01-29 18:30,E3,208,"Anas (Anas) superciliosa Gmelin, 1789",Black box woodland,4,FALSE,0.32,
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2015-01-30 8:00,2015-01-30 8:00,2015-01-30 9:00,E3,106,"Pelecanus conspicillatus Temminck, 1824",Black box woodland,2,FALSE,0.32,
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2015-01-30 8:00,2015-01-30 8:00,2015-01-30 9:00,E3,133,"Vanellus (Lobipluvia) miles (Boddaert, 1783)",Black box woodland,2,FALSE,0.32,
