cluster_id,centroid_lat,centroid_lon,n_points,n_sources,sources,multi_source,total_abundance,n_species,n_years,has_breeding,lat_min,lat_max,lon_min,lon_max,extent_km,habitat_tier
59,-34.47878796308738,143.86041745514564,515,2,"S1,S2,S3,S4",True,2933264.0,57,35,True,-34.73301667,-34.22556,143.4,144.2728,97.73,Priority
50,-35.58181647368421,138.96820147368422,19,2,"S3,S4",True,1357532.0,54,12,True,-35.63194,-35.55028,138.8769,139.0506,18.11,Priority
212,-28.71743304545455,144.28824622727274,22,2,"S3,S4",True,764646.0,58,10,True,-28.74778,-28.675,144.2333,144.3425,13.35,Priority
121,-32.429177939084504,142.3152855528169,142,2,"S3,S4",True,683449.0,50,31,True,-32.67556,-32.25316667,142.1733333,142.562,59.37,Priority
53,-35.44621583333333,139.14332066666665,6,1,S3,False,570472.0,56,9,True,-35.4517,-35.43417,139.0999,139.2172,10.78,Breeding confirmed
161,-30.533889642908164,147.19567721071428,196,2,"S3,S4",True,565448.0,44,36,True,-30.64667,-30.38861,146.8,147.5808333,79.96,Priority
159,-30.55923014720588,143.73773901470588,68,2,"S3,S4",True,525002.0,59,38,True,-30.72445,-30.40833,143.6291667,143.8217,39.62,Priority
48,-35.62967920430108,143.8071828064516,93,2,"S3,S4",True,504154.0,41,11,True,-35.72667,-35.5141,143.7325,143.8864,27.38,Priority
51,-35.609976,139.2780395,8,2,"S3,S4",True,476710.0,57,15,True,-35.623818,-35.5886,139.2533,139.3094,6.4,Priority
33,-36.206658,139.6799,5,2,"S3,S4",True,476058.0,54,14,True,-36.22528,-36.17778,139.6619,139.6939,6.0,Priority
7,-36.484789461463414,144.90523794085368,164,2,"S3,S4",True,427266.0,50,39,True,-36.595,-36.41389,144.8057,145.1006,33.12,Priority
105,-33.61690875,147.472578,8,2,"S3,S4",True,353449.0,61,14,True,-33.6373,-33.6033,147.4511,147.4911,5.28,Priority
103,-33.7683452,144.88720899999998,5,2,"S2,S3,S4",True,350815.0,28,7,True,-33.78411,-33.751776,144.859176,144.8986,5.11,Priority
96,-33.88416925641025,144.64011802564104,39,2,"S3,S4",True,339391.0,35,6,True,-33.95917,-33.8038,144.5686,144.6926,20.69,Priority
167,-30.513578418857144,144.2831839242857,70,2,"S3,S4",True,315497.0,38,21,True,-30.59833,-30.431,144.1008333,144.45,38.21,Priority
157,-30.868537,147.60946133333334,3,1,S3,False,306286.0,34,3,True,-30.8812,-30.843255,147.6092,147.609978,4.21,Breeding confirmed
61,-34.48118190220551,147.29174458521302,1197,2,"S1,S3,S4",True,301377.0,43,38,True,-34.67556,-34.31666667,145.7086,149.0666667,309.83,Priority
192,-29.831950642857144,147.36891621428572,14,2,"S3,S4",True,290087.0,55,9,True,-29.8602,-29.79,147.3289,147.3836,9.41,Priority
129,-32.50932820915254,143.3145041983051,59,2,"S3,S4",True,278610.0,43,21,True,-32.59611,-32.39861,143.1747,143.4468333,33.61,Priority
214,-28.563060757982672,150.1055469075495,808,2,"S3,S4",True,274949.0,55,41,True,-28.65861,-28.37306,149.0075,151.2352,219.48,Priority
34,-36.09920625,139.58562025,4,2,"S3,S4",True,253011.0,32,3,True,-36.10278,-36.0904,139.584781,139.5873,1.39,Priority
108,-33.4870656,145.9903851,10,2,"S3,S4",True,235144.0,47,8,True,-33.5275,-33.45,145.9633,146.0178,9.97,Priority
46,-35.751245,139.223854,4,2,"S3,S4",True,211055.0,39,3,True,-35.75806,-35.7483,139.2206,139.2311,1.44,Priority
172,-30.549200666,144.98569332,5,2,"S3,S4",True,190684.0,40,41,True,-30.59933333,-30.5,144.95,145.0189,12.84,Priority
128,-32.593055,142.08229999999998,4,2,"S3,S4",True,184292.0,34,28,True,-32.605,-32.58,142.0656,142.1222,5.98,Priority
204,-29.31138313333333,149.33786101444446,90,2,"S1,S3,S4",True,180029.0,70,11,True,-29.45444,-29.206275,149.1856,149.4767,39.4,Priority
1,-36.54390724305677,145.6386524816594,229,2,"S3,S4",True,171666.0,48,42,True,-36.63445,-36.43389,145.15,146.0961,87.26,Priority
178,-30.43671724608696,144.55289999565218,23,2,"S3,S4",True,151701.0,40,19,True,-30.54,-30.39133333,144.4489,144.64,24.63,Priority
78,-34.30745986921569,140.63811277843138,51,2,"S3,S4",True,139703.0,32,8,True,-34.38208333,-34.25861,140.5253,140.7103,21.81,Priority
160,-30.573093397115386,143.95440656346153,52,2,"S3,S4",True,138172.0,37,24,True,-30.65222,-30.40055,143.8475,144.08,35.69,Priority
23,-36.455805,139.799491675,4,1,S4,False,127690.0,23,35,True,-36.49472,-36.43139,139.7894,139.8164,7.43,Breeding confirmed
74,-34.424725333333335,140.85595478333335,6,2,"S3,S4",True,124945.0,35,37,True,-34.45,-34.41306,140.8166667,140.8803,7.12,Priority
92,-34.118418500000004,141.161364,4,1,S3,False,119586.0,42,4,True,-34.122945,-34.1169,141.126039,141.173217,4.39,Breeding confirmed
