cluster_id,region,centroid_lat,centroid_lon,multi_source,has_breeding,habitat_tier,total_abundance,n_points,n_species,n_years,extent_km,urban_fraction_pct,n_sources,sources,predicted_suitability,suitability_tier
189,Northern Basin,-30.150203968225355,145.42527429190957,False,True,Breeding confirmed,3642.0,8,47,10,10.87,0.0,1,S1,0.15584829961911237,Low
198,Northern Basin,-29.5774101223222,148.97451863610823,False,True,Breeding confirmed,2425.0,5,32,2,3.47,0.0,1,"S1,S3,S4",0.20444022606022885,High
66,Southern Basin,-34.48502693989819,145.22717985155194,False,True,Breeding confirmed,58037.0,254,45,25,82.27,0.2499527621582341,1,"S1,S4",0.18984566461289837,Moderate
207,Northern Basin,-29.315646600911947,149.2588731365815,False,True,Breeding confirmed,3576.0,3,34,7,3.73,0.0,1,"S1,S4",0.21273969020809658,High
53,"Coorong, Lower Lakes and Murray Mouth Ramsar site",-35.44365464149718,139.15951522420974,False,True,Breeding confirmed,570472.0,6,56,9,10.78,0.0,1,S3,0.7571854581168422,High
157,Northern Basin,-30.86853725653612,147.60946168868392,False,True,Breeding confirmed,306286.0,3,34,3,4.21,0.0,1,S3,0.18918752230597286,Moderate
92,Wimmera Disconnected,-34.11892216028266,141.15745487500297,False,True,Breeding confirmed,119586.0,4,42,4,4.39,0.0,1,S3,0.2490571514862253,High
41,"Coorong, Lower Lakes and Murray Mouth Ramsar site",-35.9099062587872,139.41209846711646,False,True,Breeding confirmed,73227.0,3,31,2,0.33,0.0,1,S3,0.7701400110971693,High
31,Southern Basin,-36.27981416577073,139.72859988365445,False,True,Breeding confirmed,14230.0,3,18,2,2.54,0.650954390120106,1,S3,0.2275349480384396,High
35,Wimmera Disconnected,-36.05130735373462,141.90585228001228,False,True,Breeding confirmed,10256.0,3,29,4,0.26,0.0,1,S3,0.46807517923429004,High
29,"Coorong, Lower Lakes and Murray Mouth Ramsar site",-36.34990973850532,139.754266240367,False,True,Breeding confirmed,98858.0,3,30,29,4.84,0.0082850822058852,1,"S3,S4",0.2924105688287502,High
211,Northern Basin,-28.9888909586574,144.83120113976025,False,True,Breeding confirmed,51365.0,3,26,1,2.0,0.0,1,"S3,S4",0.2649734974776554,High
114,Southern Basin,-33.30325602366254,141.99908952532817,False,True,Breeding confirmed,39332.0,8,19,4,1.71,0.0,1,"S3,S4",0.39241949923270747,High
17,Southern Basin,-36.50940885626763,147.069146542815,False,True,Breeding confirmed,2867.0,4,13,1,3.19,1.7785570735964162,1,"S3,S4",0.20185625739312338,Moderate
23,"Coorong, Lower Lakes and Murray Mouth Ramsar site",-36.45909977101012,139.80078860312526,False,True,Breeding confirmed,127690.0,4,23,35,7.43,0.0,1,S4,0.3812744591029728,High
6,Wimmera Disconnected,-36.49763924998229,143.06477541915888,False,True,Breeding confirmed,61939.0,127,36,28,59.99,0.4031444916015211,1,S4,0.18047622977987443,Moderate
169,Northern Basin,-30.480184655715306,148.14947113841924,False,True,Breeding confirmed,53168.0,216,29,28,119.18,0.0248401712897379,1,S4,0.20236010641239416,Moderate
250,Northern Basin,-26.53955210676799,148.52796566562358,False,True,Breeding confirmed,41021.0,961,29,30,301.33,0.2768569736362299,1,S4,0.17597016659971898,Moderate
219,Northern Basin,-28.53894467665312,148.84670984149105,False,True,Breeding confirmed,37568.0,37,31,20,34.79,0.0778332037427918,1,S4,0.1990524408407937,Moderate
21,Southern Basin,-36.4294295499165,144.18884846816303,False,True,Breeding confirmed,34059.0,61,25,37,36.29,0.2201132047090897,1,S4,0.18487338102406697,Moderate
164,Northern Basin,-30.50772286777716,150.0031058273611,False,True,Breeding confirmed,27569.0,142,23,33,43.58,0.184869970575042,1,S4,0.18387977681652273,Moderate
127,Lachlan Disconnected,-32.4639723490915,147.3709106332526,False,True,Breeding confirmed,24438.0,515,28,18,216.96,0.0732804541581795,1,S4,0.14969800903577632,Low
243,Northern Basin,-28.406338003405992,146.69024787090729,False,True,Breeding confirmed,18223.0,55,25,14,36.53,0.0009254517703271452,1,S4,0.12614876236589925,Low
12,Wimmera Disconnected,-36.4203150616171,141.90758520525958,False,True,Breeding confirmed,15799.0,67,20,24,38.86,1.0348897780963149,1,S4,0.20282083172052687,High
247,Northern Basin,-28.390045434756978,148.31380102940943,False,True,Breeding confirmed,13992.0,19,20,27,21.12,0.0191130216233394,1,S4,0.20508878396701932,High
25,Southern Basin,-36.43833531681675,146.44396348626012,False,True,Breeding confirmed,13368.0,7,25,27,12.17,1.116642383757333,1,S4,0.19697067967000928,Moderate
215,Northern Basin,-28.535008275789483,145.0776735169304,False,True,Breeding confirmed,12890.0,102,25,17,41.84,0.0004747134555681469,1,S4,0.050122513263105385,Low
10,Southern Basin,-36.54331443642372,146.6094899348219,False,True,Breeding confirmed,5665.0,43,21,18,56.37,0.7094708742951525,1,S4,0.19344063683874835,Moderate
