scientific_name,common_name,total_abundance,n_records,year_min,year_max,n_sites,sources
Anas gracilis,Grey teal,5226495,6759,1983,2025,1131,"S3, S4"
Fulica atra,Eurasian coot,1329256,2682,1983,2025,671,"S1, S3, S4"
Malacorhynchus membranaceus,Pink-eared duck,1020847,1559,1983,2025,436,"S1, S3, S4"
Phalacrocorax carbo,Great cormorant,794323,3112,1983,2025,700,"S3, S4"
Cladorhynchus leucocephalus,Banded stilt,723929,215,1983,2024,73,"S3, S4"
Cygnus atratus,Black swan,686051,4070,1983,2025,759,"S1, S3, S4"
Tadorna tadornoides,Australian shelduck,562977,2348,1983,2025,505,"S3, S4"
Anas superciliosa,Pacific black duck,541270,6160,1983,2025,1060,"S3, S4"
Chenonetta jubata,Australian maned duck,506961,5243,1983,2025,1014,"S1, S3, S4"
Aythya australis,Hardhead,438465,1778,1983,2025,520,"S3, S4"
